VPVS_RATIO,P_IMPEDANCE,PHI
1.7629,13340785.0,0.08199999999999999
1.767,13391955.0,0.0802
1.7667,13454263.0,0.08
1.7665,13541660.0,0.0796
1.7664,13564978.0,0.0795
1.7618,13612199.0,0.0797
1.7542,13689683.0,0.0799
1.7537,13743831.0,0.0796
1.7531,13802699.0,0.0794
1.7513,13972521.0,0.0785
1.7454,13986715.0,0.0764
1.7435,13987219.0,0.0757
1.7356,13989538.0,0.0728
1.7354,13971250.0,0.0713
1.7351,13948305.0,0.0696
1.735,13937991.0,0.0688
1.7354,13903595.0,0.0707
1.7361,13840907.0,0.0738
1.7377,13823102.0,0.0749
1.7413,13784331.0,0.0772
1.7498,13689499.0,0.0827
1.7444,13549354.0,0.0861
1.7436,13529855.0,0.0866
1.7356,13324256.0,0.0919
1.7369,13331704.0,0.0927
1.7382,13336685.0,0.0936
1.739,13340143.0,0.0941
1.7376,13370913.0,0.0929
1.7353,13406132.0,0.0909
1.7357,13412576.0,0.0911
1.7380000000000002,13449753.0,0.0925
1.7425,13521858.0,0.095
1.7481,13480752.0,0.0984
1.7482,13479616.0,0.0985
1.7576,13416322.0,0.1043
1.7683,13347188.0,0.1077
1.7767,13291922.0,0.1104
1.7856,13233962.0,0.1133
1.7938,13186993.0,0.1137
1.807,13090927.0,0.1145
1.8072,13089766.0,0.1145
1.7947,12975903.0,0.111
1.7747,12793451.0,0.1052
1.7709,12758616.0,0.1007
1.77,12750319.0,0.0997
1.7624,12689526.0,0.0906
1.7519,12719010.0,0.0849
1.7452,12731036.0,0.0814
1.7344,12750388.0,0.0756
1.7358,12853700.0,0.0708
1.7380000000000002,12971247.0,0.0638
1.7383,12986466.0,0.0629
1.7411,12948276.0,0.0605
1.7456,12876788.0,0.0566
1.7442,12781705.0,0.0571
1.7434,12728716.0,0.0574
1.74,12533797.0,0.0587
1.7533,12550181.0,0.0603
1.7595,12578271.0,0.0611
1.7754,12649686.0,0.0631
1.7648,12574862.0,0.064
1.7514,12511809.0,0.0651
1.7477,12494797.0,0.0654
1.7438,12637103.0,0.0637
1.7373,12860218.0,0.0608
1.7328,12944566.0,0.0604
1.7277,13039369.0,0.0599
1.7114,13274927.0,0.0584
1.6928,13334644.0,0.0631
1.6872,13344140.0,0.0644
